Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL,GAMMA_PUT,IV_CALL,IV_PUT,VOLUME_CALL,VOLUME_PUT,DELTA_CALL,DELTA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT,Underlying LTP,CALL_OPEN_INTEREST,PUT_OPEN_INTEREST,Days to Expiry,Vega_Call,Vega_Put
18800,783.6,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,8600,0,0,NaN,NaN
18850,728.4,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,1850,0,0,NaN,NaN
18900,681.85,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,8650,0,0,NaN,NaN
18950,594.9,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,5550,0,0,NaN,NaN
19000,543.7,0,NaN,NaN,NaN,NaN,500,0,NaN,NaN,NaN,NaN,0,0,19551.85,158850,0,0,NaN,NaN
19050,495.35,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,25750,0,0,NaN,NaN
19100,443.95,0,NaN,NaN,NaN,NaN,100,0,NaN,NaN,NaN,NaN,0,0,19551.85,222000,0,0,NaN,NaN
19150,390,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,18200,0,0,NaN,NaN
19200,343.8,0,NaN,NaN,NaN,NaN,2200,0,NaN,NaN,NaN,NaN,0,0,19551.85,96350,0,0,NaN,NaN
19250,294.6,0,NaN,NaN,NaN,NaN,2550,0,NaN,NaN,NaN,NaN,0,0,19551.85,52250,0,0,NaN,NaN
19300,244.4,0,NaN,NaN,NaN,NaN,6950,0,NaN,NaN,NaN,NaN,0,0,19551.85,286400,0,0,NaN,NaN
